id,address
1,"109012, г. Москва, Красная площадь, д. 1"
2,"125009, г. Москва, Тверская ул., д. 7"
3,"101000, г. Москва, ул. Мясницкая, д. 26"
4,"119019, г. Москва, ул. Арбат, д. 51"
5,"127006, г. Москва, ул. Новый Арбат, д. 15"
6,"115035, г. Москва, ул. Пятницкая, д. 62"
7,"107031, г. Москва, Кузнецкий Мост ул., д. 21/5"
8,"123001, г. Москва, ул. 1905 года, д. 8"
9,"119121, г. Москва, Ленинский проспект, д. 32А"
10,"129090, г. Москва, проспект Мира, д. 41"
11,"190000, г. Санкт-Петербург, Невский пр., д. 28"
12,"191186, г. Санкт-Петербург, Дворцовая площадь, д. 2"
13,"191023, г. Санкт-Петербург, набережная реки Фонтанки, д. 62"
14,"190031, г. Санкт-Петербург, Садовая ул., д. 54"
15,"191011, г. Санкт-Петербург, ул. Итальянская, д. 25"
16,"191002, г. Санкт-Петербург, Литейный пр., д. 51"
17,"197046, г. Санкт-Петербург, ул. Куйбышева, д. 4"
18,"199034, г. Санкт-Петербург, Университетская наб., д. 7"
19,"191124, г. Санкт-Петербург, ул. Чайковского, д. 39"
20,"191014, г. Санкт-Петербург, Литейный пр., д. 60"
21,"620014, г. Екатеринбург, ул. 8 Марта, д. 13"
22,"630099, г. Новосибирск, Красный проспект, д. 20"
23,"420014, г. Казань, ул. Кремлевская, д. 18"
24,"603005, г. Нижний Новгород, ул. Большая Покровская, д. 82"
25,"443099, г. Самара, ул. Куйбышева, д. 145"
26,"454091, г. Челябинск, пр. Ленина, д. 57"
27,"644099, г. Омск, ул. Ленина, д. 10"
28,"344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 47"
29,"450008, г. Уфа, пр. Октября, д. 72"
30,"660049, г. Красноярск, пр. Мира, д. 53"
31,"690091, г. Владивосток, ул. Светланская, д. 20"
32,"236006, г. Калининград, Ленинский пр., д. 30"
33,"664003, г. Иркутск, ул. Ленина, д. 14"
34,"183038, г. Мурманск, пр. Ленина, д. 75"
35,"163060, г. Архангельск, Троицкий пр., д. 49"
36,"150000, г. Ярославль, ул. Кирова, д. 8"
37,"300041, г. Тула, пр. Ленина, д. 51"
38,"305000, г. Курск, Красная площадь, д. 6"
39,"308015, г. Белгород, Гражданский пр., д. 41"
40,"354000, г. Сочи, Курортный пр., д. 103"
41,"614000, г. Пермь, ул. Ленина, д. 58"
42,"394036, г. Воронеж, пр. Революции, д. 39"
43,"400066, г. Волгоград, пр. Ленина, д. 33"
44,"410031, г. Саратов, ул. Московская, д. 109"
45,"625000, г. Тюмень, ул. Республики, д. 47"
46,"445044, г. Тольятти, Южное шоссе, д. 36"
47,"426008, г. Ижевск, ул. Пушкинская, д. 216"
48,"656043, г. Барнаул, пр. Ленина, д. 54"
49,"644007, г. Омск, ул. Ленина, д. 12"
50,"454000, г. Челябинск, ул. Кирова, д. 92"
51,"173025, г. Великий Новгород, ул. Большая Московская, д. 39"
52,"180000, г. Псков, Октябрьский пр., д. 36"
53,"214000, г. Смоленск, ул. Большая Советская, д. 11"
54,"170000, г. Тверь, ул. Советская, д. 12"
55,"156000, г. Кострома, ул. Советская, д. 1"
56,"600000, г. Владимир, ул. Большая Московская, д. 58"
57,"390000, г. Рязань, ул. Почтовая, д. 49"
58,"398055, г. Липецк, пр. Победы, д. 29"
59,"392000, г. Тамбов, ул. Интернациональная, д. 15"
60,"432071, г. Ульяновск, ул. Гончарова, д. 18"
61,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29"
62,"426034, г. Ижевск, ул. Советская, д. 1"
63,"667010, г. Кызыл, ул. Ленина, д. 33"
64,"655017, г. Абакан, ул. Ленина, д. 67"
65,"629008, г. Салехард, ул. Республики, д. 40"
66,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14"
67,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174"
68,"685000, г. Магадан, пр. Ленина, д. 2"
69,"689000, г. Анадырь, ул. Отке, д. 28"
70,"249038, г. Обнинск, пр. Ленина, д. 85"
71,"141070, Московская обл., г. Королев, пр-т Космонавтов, д. 15"
72,"141200, Московская обл., г. Пушкино, ул. Московский пр., д. 15"
73,"188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 138"
74,"188800, Ленинградская обл., г. Выборг, ул. Крепостная, д. 25"
75,"624130, Свердловская обл., г. Новоуральск, ул. Ленина, д. 15"
76,"456780, Челябинская обл., г. Озерск, пр. Ленина, д. 30"
77,"238710, Калининградская обл., г. Советск, ул. Победы, д. 1"
78,"692900, Приморский край, г. Уссурийск, ул. Некрасова, д. 66"
79,"683000, Камчатский край, г. Елизово, ул. Ленина, д. 25"
80,"416540, Астраханская обл., г. Знаменск, ул. Ленина, д. 7"
81,"141411, Московская обл., г. Химки, ул. Московская, д. 15"
82,"143980, Московская обл., г. Железнодорожный, ул. Советская, д. 9"
83,"196240, г. Санкт-Петербург, Московский пр., д. 216"
84,"620026, г. Екатеринбург, ул. Белинского, д. 83"
85,"630073, г. Новосибирск, ул. Кирова, д. 44"
86,"420111, г. Казань, ул. Баумана, д. 58"
87,"603000, г. Нижний Новгород, ул. Рождественская, д. 43"
88,"443010, г. Самара, ул. Ленинградская, д. 75"
89,"454000, г. Челябинск, ул. Воровского, д. 2"
90,"644043, г. Омск, ул. Красный Путь, д. 163"
91,"119034, г. Москва, ул. Остоженка, д. 37/7"
92,"191002, г. Санкт-Петербург, ул. Разъезжая, д. 5/22"
93,"620075, г. Екатеринбург, ул. Малышева, д. 51/1"
94,"630004, г. Новосибирск, ул. Фрунзе, д. 5/2"
95,"420107, г. Казань, ул. Татарстан, д. 20/12"
96,"603001, г. Нижний Новгород, ул. Пискунова, д. 21/13"
97,"443099, г. Самара, ул. Галактионовская, д. 118/120"
98,"454091, г. Челябинск, ул. Сони Кривой, д. 38/1"
99,"644099, г. Омск, ул. Ленина, д. 9/12"
100,"344002, г. Ростов-на-Дону, ул. Б. Садовая, д. 45/73"
